windspeed,date
0.893555006,2021-07-07 03:00:00
0.923585252,2021-07-07 04:00:00
1.096046652,2021-07-07 05:00:00
1.312013751,2021-07-07 06:00:00
0.994180865,2021-07-07 07:00:00
0.384450683,2021-07-07 08:00:00
0.476008639,2021-07-07 09:00:00
1.328760876,2021-07-07 10:00:00
1.96714076,2021-07-07 11:00:00
2.982664735,2021-07-07 12:00:00
2.551195836,2021-07-07 13:00:00
0.716372668,2021-07-07 14:00:00
1.129318777,2021-07-07 15:00:00
2.773649848,2021-07-07 16:00:00
1.203433576,2021-07-07 17:00:00
1.044675092,2021-07-07 18:00:00
1.044675092,2021-07-07 19:00:00
1.042857835,2021-07-07 20:00:00
1.347026215,2021-07-07 21:00:00
1.492195849,2021-07-07 22:00:00
1.507976587,2021-07-07 23:00:00
1.501844543,2021-07-08 00:00:00
1.207747018,2021-07-08 01:00:00
1.272657364,2021-07-08 02:00:00
1.320486011,2021-07-08 03:00:00
1.226630308,2021-07-08 04:00:00
1.245890387,2021-07-08 05:00:00
1.245890387,2021-07-08 06:00:00
1.296357791,2021-07-08 07:00:00
1.297803852,2021-07-08 08:00:00
1.296357791,2021-07-08 09:00:00
1.245889952,2021-07-08 10:00:00
0.494732962,2021-07-08 11:00:00
1.245889952,2021-07-08 12:00:00
1.525762052,2021-07-08 13:00:00
1.310498776,2021-07-08 14:00:00
1.741045536,2021-07-08 15:00:00
2.37001107,2021-07-08 16:00:00
2.649259191,2021-07-08 17:00:00
2.170302256,2021-07-08 18:00:00
2.462921891,2021-07-08 19:00:00
2.275534069,2021-07-08 20:00:00
2.118655806,2021-07-08 21:00:00
1.943419878,2021-07-08 22:00:00
1.539605953,2021-07-08 23:00:00
0.9686237,2021-07-09 00:00:00
0.985319383,2021-07-09 01:00:00
1.058553272,2021-07-09 02:00:00
1.185040076,2021-07-09 03:00:00
1.268880237,2021-07-09 04:00:00
1.614179921,2021-07-09 05:00:00
0.983992157,2021-07-09 06:00:00
